"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
35	"WMF"	"CPZ"	6.05970818181818	"White"	"male"	"fore"
36	"BFE"	"CPZ"	0.813706	"Black"	"female"	"eyes"
36	"BFF"	"CPZ"	2.69706424242424	"Black"	"female"	"fore"
36	"BME"	"CPZ"	2.24084424242424	"Black"	"male"	"eyes"
36	"BMF"	"CPZ"	0.428274848484848	"Black"	"male"	"fore"
36	"WFE"	"CPZ"	1.76539787878788	"White"	"female"	"eyes"
36	"WFF"	"CPZ"	1.25606727272727	"White"	"female"	"fore"
36	"WME"	"CPZ"	1.64495454545455	"White"	"male"	"eyes"
36	"WMF"	"CPZ"	-0.366071090909091	"White"	"male"	"fore"
37	"BFE"	"CPZ"	5.72849515151515	"Black"	"female"	"eyes"
37	"BFF"	"CPZ"	3.61675454545455	"Black"	"female"	"fore"
37	"BME"	"CPZ"	5.24954696969697	"Black"	"male"	"eyes"
37	"BMF"	"CPZ"	6.03225575757576	"Black"	"male"	"fore"
37	"WFE"	"CPZ"	5.24620333333333	"White"	"female"	"eyes"
37	"WFF"	"CPZ"	4.61592454545455	"White"	"female"	"fore"
37	"WME"	"CPZ"	6.34036303030303	"White"	"male"	"eyes"
37	"WMF"	"CPZ"	5.14788393939394	"White"	"male"	"fore"
38	"BFE"	"CPZ"	-0.951004848484848	"Black"	"female"	"eyes"
38	"BFF"	"CPZ"	0.143045696969697	"Black"	"female"	"fore"
38	"BME"	"CPZ"	1.07780272727273	"Black"	"male"	"eyes"
38	"BMF"	"CPZ"	0.30098203030303	"Black"	"male"	"fore"
38	"WFE"	"CPZ"	0.928008181818182	"White"	"female"	"eyes"
38	"WFF"	"CPZ"	-1.21139121212121	"White"	"female"	"fore"
38	"WME"	"CPZ"	3.91227151515152	"White"	"male"	"eyes"
38	"WMF"	"CPZ"	0.0913699393939394	"White"	"male"	"fore"
39	"BFE"	"CPZ"	-0.132368575757576	"Black"	"female"	"eyes"
39	"BFF"	"CPZ"	-0.0738890636363636	"Black"	"female"	"fore"
39	"BME"	"CPZ"	1.05866515151515	"Black"	"male"	"eyes"
39	"BMF"	"CPZ"	1.64582878787879	"Black"	"male"	"fore"
39	"WFE"	"CPZ"	-0.965124848484848	"White"	"female"	"eyes"
39	"WFF"	"CPZ"	0.110778424242424	"White"	"female"	"fore"
39	"WME"	"CPZ"	1.43710696969697	"White"	"male"	"eyes"
39	"WMF"	"CPZ"	1.18975575757576	"White"	"male"	"fore"
40	"BFE"	"CPZ"	4.03224363636364	"Black"	"female"	"eyes"
40	"BFF"	"CPZ"	3.09137060606061	"Black"	"female"	"fore"
40	"BME"	"CPZ"	5.95934696969697	"Black"	"male"	"eyes"
40	"BMF"	"CPZ"	3.66707939393939	"Black"	"male"	"fore"
40	"WFE"	"CPZ"	3.50105939393939	"White"	"female"	"eyes"
40	"WFF"	"CPZ"	3.11021939393939	"White"	"female"	"fore"
40	"WME"	"CPZ"	3.48061181818182	"White"	"male"	"eyes"
40	"WMF"	"CPZ"	4.56817848484848	"White"	"male"	"fore"
41	"BFE"	"CPZ"	4.75629424242424	"Black"	"female"	"eyes"
41	"BFF"	"CPZ"	2.93136939393939	"Black"	"female"	"fore"
41	"BME"	"CPZ"	6.43050393939394	"Black"	"male"	"eyes"
41	"BMF"	"CPZ"	2.83677181818182	"Black"	"male"	"fore"
41	"WFE"	"CPZ"	6.42252484848485	"White"	"female"	"eyes"
41	"WFF"	"CPZ"	3.05948727272727	"White"	"female"	"fore"
41	"WME"	"CPZ"	5.68027393939394	"White"	"male"	"eyes"
41	"WMF"	"CPZ"	5.94524090909091	"White"	"male"	"fore"
43	"BFE"	"CPZ"	0.47824003030303	"Black"	"female"	"eyes"
43	"BFF"	"CPZ"	0.0958193333333333	"Black"	"female"	"fore"
43	"BME"	"CPZ"	1.39025484848485	"Black"	"male"	"eyes"
43	"BMF"	"CPZ"	-0.131096242424242	"Black"	"male"	"fore"
43	"WFE"	"CPZ"	-0.173410696969697	"White"	"female"	"eyes"
43	"WFF"	"CPZ"	0.548578363636364	"White"	"female"	"fore"
43	"WME"	"CPZ"	1.53944272727273	"White"	"male"	"eyes"
43	"WMF"	"CPZ"	0.641876333333333	"White"	"male"	"fore"
44	"BFE"	"CPZ"	-0.335527696969697	"Black"	"female"	"eyes"
44	"BFF"	"CPZ"	-0.200031545454545	"Black"	"female"	"fore"
44	"BME"	"CPZ"	-1.21197666666667	"Black"	"male"	"eyes"
44	"BMF"	"CPZ"	-1.18657666666667	"Black"	"male"	"fore"
44	"WFE"	"CPZ"	-0.35021203030303	"White"	"female"	"eyes"
44	"WFF"	"CPZ"	-0.17898103030303	"White"	"female"	"fore"
44	"WME"	"CPZ"	0.366799424242424	"White"	"male"	"eyes"
44	"WMF"	"CPZ"	2.73442909090909	"White"	"male"	"fore"
45	"BFE"	"CPZ"	0.409922181818182	"Black"	"female"	"eyes"
45	"BFF"	"CPZ"	1.44358272727273	"Black"	"female"	"fore"
45	"BME"	"CPZ"	-0.526031636363636	"Black"	"male"	"eyes"
45	"BMF"	"CPZ"	0.0536339939393939	"Black"	"male"	"fore"
45	"WFE"	"CPZ"	0.94947	"White"	"female"	"eyes"
45	"WFF"	"CPZ"	1.68234181818182	"White"	"female"	"fore"
45	"WME"	"CPZ"	0.861247727272727	"White"	"male"	"eyes"
45	"WMF"	"CPZ"	1.65397090909091	"White"	"male"	"fore"
47	"BFE"	"CPZ"	4.43671212121212	"Black"	"female"	"eyes"
47	"BFF"	"CPZ"	2.31770121212121	"Black"	"female"	"fore"
47	"BME"	"CPZ"	3.78692515151515	"Black"	"male"	"eyes"
47	"BMF"	"CPZ"	1.62408545454545	"Black"	"male"	"fore"
47	"WFE"	"CPZ"	2.86724575757576	"White"	"female"	"eyes"
47	"WFF"	"CPZ"	2.34709454545455	"White"	"female"	"fore"
47	"WME"	"CPZ"	2.96238939393939	"White"	"male"	"eyes"
47	"WMF"	"CPZ"	3.84140393939394	"White"	"male"	"fore"
48	"BFE"	"CPZ"	5.24247181818182	"Black"	"female"	"eyes"
48	"BFF"	"CPZ"	2.4742796969697	"Black"	"female"	"fore"
48	"BME"	"CPZ"	5.88358878787879	"Black"	"male"	"eyes"
48	"BMF"	"CPZ"	4.27591606060606	"Black"	"male"	"fore"
48	"WFE"	"CPZ"	5.50940303030303	"White"	"female"	"eyes"
48	"WFF"	"CPZ"	5.54657939393939	"White"	"female"	"fore"
48	"WME"	"CPZ"	5.23136787878788	"White"	"male"	"eyes"
48	"WMF"	"CPZ"	4.55928090909091	"White"	"male"	"fore"
49	"BFE"	"CPZ"	-1.4935596969697	"Black"	"female"	"eyes"
49	"BFF"	"CPZ"	1.56945424242424	"Black"	"female"	"fore"
49	"BME"	"CPZ"	0.278346696969697	"Black"	"male"	"eyes"
49	"BMF"	"CPZ"	2.13433818181818	"Black"	"male"	"fore"
49	"WFE"	"CPZ"	-0.804590666666667	"White"	"female"	"eyes"
49	"WFF"	"CPZ"	-0.405795333333333	"White"	"female"	"fore"
49	"WME"	"CPZ"	-0.850416757575758	"White"	"male"	"eyes"
49	"WMF"	"CPZ"	-0.049080296969697	"White"	"male"	"fore"
51	"BFE"	"CPZ"	9.84026666666667	"Black"	"female"	"eyes"
51	"BFF"	"CPZ"	9.63477878787879	"Black"	"female"	"fore"
51	"BME"	"CPZ"	10.6165242424242	"Black"	"male"	"eyes"
51	"BMF"	"CPZ"	9.6624	"Black"	"male"	"fore"
51	"WFE"	"CPZ"	10.9165	"White"	"female"	"eyes"
51	"WFF"	"CPZ"	8.28506727272727	"White"	"female"	"fore"
51	"WME"	"CPZ"	10.0507121212121	"White"	"male"	"eyes"
51	"WMF"	"CPZ"	10.4943878787879	"White"	"male"	"fore"
52	"BFE"	"CPZ"	3.49838727272727	"Black"	"female"	"eyes"
52	"BFF"	"CPZ"	1.67168606060606	"Black"	"female"	"fore"
52	"BME"	"CPZ"	3.1852596969697	"Black"	"male"	"eyes"
52	"BMF"	"CPZ"	4.51995333333333	"Black"	"male"	"fore"
