"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"	"Task"
14	"RBMF"	"PZ"	-4.52561935483871	"Black"	"male"	"fore"	"Race"
14	"RWFE"	"PZ"	-3.66238516129032	"White"	"female"	"eyes"	"Race"
14	"RWFF"	"PZ"	-2.62531225806452	"White"	"female"	"fore"	"Race"
14	"RWME"	"PZ"	-3.74474580645161	"White"	"male"	"eyes"	"Race"
14	"RWMF"	"PZ"	-3.51180548387097	"White"	"male"	"fore"	"Race"
16	"GBFE"	"PZ"	-4.93592903225806	"Black"	"female"	"eyes"	"Gender"
16	"GBFF"	"PZ"	-0.527761612903226	"Black"	"female"	"fore"	"Gender"
16	"GBME"	"PZ"	-4.33421612903226	"Black"	"male"	"eyes"	"Gender"
16	"GBMF"	"PZ"	-1.44317612903226	"Black"	"male"	"fore"	"Gender"
16	"GWFE"	"PZ"	-4.78087419354839	"White"	"female"	"eyes"	"Gender"
16	"GWFF"	"PZ"	-1.23122290322581	"White"	"female"	"fore"	"Gender"
16	"GWME"	"PZ"	-4.14614193548387	"White"	"male"	"eyes"	"Gender"
16	"GWMF"	"PZ"	-1.57080516129032	"White"	"male"	"fore"	"Gender"
16	"RBFE"	"PZ"	-5.54707741935484	"Black"	"female"	"eyes"	"Race"
16	"RBFF"	"PZ"	-1.34872967741935	"Black"	"female"	"fore"	"Race"
16	"RBME"	"PZ"	-5.23075483870968	"Black"	"male"	"eyes"	"Race"
16	"RBMF"	"PZ"	-0.64235064516129	"Black"	"male"	"fore"	"Race"
16	"RWFE"	"PZ"	-3.64499870967742	"White"	"female"	"eyes"	"Race"
16	"RWFF"	"PZ"	-1.77182903225806	"White"	"female"	"fore"	"Race"
16	"RWME"	"PZ"	-4.1208935483871	"White"	"male"	"eyes"	"Race"
16	"RWMF"	"PZ"	-2.87896612903226	"White"	"male"	"fore"	"Race"
17	"GBFE"	"PZ"	1.17075709677419	"Black"	"female"	"eyes"	"Gender"
17	"GBFF"	"PZ"	-1.46633451612903	"Black"	"female"	"fore"	"Gender"
17	"GBME"	"PZ"	1.06070483870968	"Black"	"male"	"eyes"	"Gender"
17	"GBMF"	"PZ"	1.07136064516129	"Black"	"male"	"fore"	"Gender"
17	"GWFE"	"PZ"	-1.44195451612903	"White"	"female"	"eyes"	"Gender"
17	"GWFF"	"PZ"	1.70520741935484	"White"	"female"	"fore"	"Gender"
17	"GWME"	"PZ"	-2.11242451612903	"White"	"male"	"eyes"	"Gender"
17	"GWMF"	"PZ"	-0.367054032258065	"White"	"male"	"fore"	"Gender"
17	"RBFE"	"PZ"	0.104424032258065	"Black"	"female"	"eyes"	"Race"
17	"RBFF"	"PZ"	1.79529516129032	"Black"	"female"	"fore"	"Race"
17	"RBME"	"PZ"	-1.26930903225806	"Black"	"male"	"eyes"	"Race"
17	"RBMF"	"PZ"	1.48946129032258	"Black"	"male"	"fore"	"Race"
17	"RWFE"	"PZ"	-1.42958290322581	"White"	"female"	"eyes"	"Race"
17	"RWFF"	"PZ"	1.2071664516129	"White"	"female"	"fore"	"Race"
17	"RWME"	"PZ"	4.00536419354839	"White"	"male"	"eyes"	"Race"
17	"RWMF"	"PZ"	-1.12067903225806	"White"	"male"	"fore"	"Race"
20	"GBFE"	"PZ"	1.17637870967742	"Black"	"female"	"eyes"	"Gender"
20	"GBFF"	"PZ"	0.251804935483871	"Black"	"female"	"fore"	"Gender"
20	"GBME"	"PZ"	-0.226998064516129	"Black"	"male"	"eyes"	"Gender"
20	"GBMF"	"PZ"	0.179990032258065	"Black"	"male"	"fore"	"Gender"
20	"GWFE"	"PZ"	1.14588161290323	"White"	"female"	"eyes"	"Gender"
20	"GWFF"	"PZ"	0.599845161290323	"White"	"female"	"fore"	"Gender"
20	"GWME"	"PZ"	0.837978064516129	"White"	"male"	"eyes"	"Gender"
20	"GWMF"	"PZ"	-0.0153217064516129	"White"	"male"	"fore"	"Gender"
20	"RBFE"	"PZ"	-0.115243161290323	"Black"	"female"	"eyes"	"Race"
20	"RBFF"	"PZ"	0.25842135483871	"Black"	"female"	"fore"	"Race"
20	"RBME"	"PZ"	0.294648322580645	"Black"	"male"	"eyes"	"Race"
20	"RBMF"	"PZ"	1.06361967741935	"Black"	"male"	"fore"	"Race"
20	"RWFE"	"PZ"	0.436232903225806	"White"	"female"	"eyes"	"Race"
20	"RWFF"	"PZ"	-0.59649935483871	"White"	"female"	"fore"	"Race"
20	"RWME"	"PZ"	-0.842510967741935	"White"	"male"	"eyes"	"Race"
20	"RWMF"	"PZ"	0.428820967741936	"White"	"male"	"fore"	"Race"
21	"GBFE"	"PZ"	-0.652243548387097	"Black"	"female"	"eyes"	"Gender"
21	"GBFF"	"PZ"	-0.559584516129032	"Black"	"female"	"fore"	"Gender"
21	"GBME"	"PZ"	-1.87731387096774	"Black"	"male"	"eyes"	"Gender"
21	"GBMF"	"PZ"	-2.65653451612903	"Black"	"male"	"fore"	"Gender"
21	"GWFE"	"PZ"	-2.57446225806452	"White"	"female"	"eyes"	"Gender"
21	"GWFF"	"PZ"	-0.034348	"White"	"female"	"fore"	"Gender"
21	"GWME"	"PZ"	-0.0041542	"White"	"male"	"eyes"	"Gender"
21	"GWMF"	"PZ"	-2.20816967741935	"White"	"male"	"fore"	"Gender"
21	"RBFE"	"PZ"	-0.297315806451613	"Black"	"female"	"eyes"	"Race"
21	"RBFF"	"PZ"	-0.871577419354839	"Black"	"female"	"fore"	"Race"
21	"RBME"	"PZ"	0.977254193548387	"Black"	"male"	"eyes"	"Race"
21	"RBMF"	"PZ"	-2.09656516129032	"Black"	"male"	"fore"	"Race"
21	"RWFE"	"PZ"	-0.93324064516129	"White"	"female"	"eyes"	"Race"
21	"RWFF"	"PZ"	-0.306788096774194	"White"	"female"	"fore"	"Race"
21	"RWME"	"PZ"	-2.02016032258065	"White"	"male"	"eyes"	"Race"
21	"RWMF"	"PZ"	1.28989258064516	"White"	"male"	"fore"	"Race"
22	"GBFE"	"PZ"	0.93541	"Black"	"female"	"eyes"	"Gender"
22	"GBFF"	"PZ"	-0.181769225806452	"Black"	"female"	"fore"	"Gender"
22	"GBME"	"PZ"	0.378056258064516	"Black"	"male"	"eyes"	"Gender"
